Date,Name,Open,Closing_Price,Daily_High,Daily_Low,Volume,Year,Month
2020-04-02,Air Liquide,116.0,112.95,116.0,110.0,331,2020,4
2020-04-01,Air Liquide,115.95,114.05,115.95,112.3,480,2020,4
2020-03-31,Air Liquide,113.9,114.6,115.35,112.95,784,2020,3
2020-03-30,Air Liquide,110.25,112.15,112.7,106.9,485,2020,3
2020-03-27,Air Liquide,110.2,107.0,110.2,105.8,525,2020,3
2020-03-26,Air Liquide,108.55,111.7,111.7,106.5,653,2020,3
2020-03-25,Air Liquide,110.8,110.25,115.0,106.0,"2,061",2020,3
2020-03-24,Air Liquide,109.6,108.1,111.55,103.0,"1,104",2020,3
2020-03-23,Air Liquide,103.0,106.95,106.95,100.95,420,2020,3
2020-03-20,Air Liquide,108.4,103.0,110.75,101.85,699,2020,3
2020-03-19,Air Liquide,100.0,104.55,104.55,99.66,266,2020,3
2020-03-18,Air Liquide,102.85,98.5,103.05,98.0,432,2020,3
2020-03-17,Air Liquide,100.0,105.8,106.3,99.68,944,2020,3
2020-03-16,Air Liquide,105.0,98.86,105.0,95.0,"1,666",2020,3
2020-03-13,Air Liquide,102.0,105.0,110.85,102.0,"1,782",2020,3
2020-03-12,Air Liquide,110.0,99.84,110.0,99.84,"3,191",2020,3
2020-03-11,Air Liquide,113.5,113.0,115.5,112.95,"1,105",2020,3
2020-03-10,Air Liquide,115.2,112.65,118.7,112.35,"1,021",2020,3
2020-03-09,Air Liquide,120.0,111.45,120.0,111.45,"2,467",2020,3
2020-03-06,Air Liquide,125.0,123.3,125.35,122.75,789,2020,3
2020-03-05,Air Liquide,130.85,125.9,130.85,125.9,534,2020,3
2020-03-04,Air Liquide,127.65,129.8,129.8,126.25,"1,124",2020,3
2020-03-03,Air Liquide,127.8,125.5,128.8,125.5,"2,068",2020,3
2020-03-02,Air Liquide,124.2,126.35,126.75,121.6,"1,274",2020,3
2020-02-28,Air Liquide,121.0,122.7,124.55,118.0,"4,84",2020,2
2020-02-27,Air Liquide,130.0,127.25,130.1,126.0,"1,214",2020,2
2020-02-26,Air Liquide,128.2,131.4,132.15,126.85,"2,026",2020,2
2020-02-25,Air Liquide,133.35,131.0,134.75,130.8,955,2020,2
2020-02-24,Air Liquide,138.8,132.5,138.8,131.5,"3,268",2020,2
2020-02-21,Air Liquide,139.0,138.85,139.55,138.15,"1,082",2020,2
2020-02-20,Air Liquide,142.05,139.3,142.05,138.5,793,2020,2
2020-02-19,Air Liquide,140.0,141.1,141.1,140.0,"1,237",2020,2
2020-02-18,Air Liquide,139.9,139.9,140.25,139.3,967,2020,2
2020-02-17,Air Liquide,139.9,141.35,141.35,139.1,"1,802",2020,2
2020-02-14,Air Liquide,142.35,139.0,142.35,138.55,"1,082",2020,2
2020-02-13,Air Liquide,139.7,140.15,140.15,137.95,266,2020,2
2020-02-12,Air Liquide,138.4,139.3,139.3,138.15,548,2020,2
2020-02-11,Air Liquide,135.8,137.35,138.6,134.4,"1,688",2020,2
2020-02-10,Air Liquide,135.35,134.85,135.35,134.0,541,2020,2
2020-02-07,Air Liquide,135.15,134.75,135.45,134.3,580,2020,2
2020-02-06,Air Liquide,136.05,135.3,136.05,134.2,564,2020,2
2020-02-05,Air Liquide,133.9,135.2,135.2,133.9,386,2020,2
2020-02-04,Air Liquide,133.05,133.2,133.2,132.7,120,2020,2
2020-02-03,Air Liquide,131.75,131.9,132.15,131.7,381,2020,2
2020-01-31,Air Liquide,132.05,131.75,132.05,131.7,218,2020,1
2020-01-30,Air Liquide,131.4,131.1,131.4,129.95,552,2020,1
2020-01-29,Air Liquide,129.6,131.5,131.5,129.6,"1,064",2020,1
2020-01-28,Air Liquide,129.25,127.8,129.25,127.8,214,2020,1
2020-01-27,Air Liquide,131.0,127.15,131.0,127.15,720,2020,1
2020-01-24,Air Liquide,129.3,130.55,130.55,129.3,198,2020,1
2020-01-23,Air Liquide,129.45,128.75,129.45,128.3,320,2020,1
2020-01-22,Air Liquide,130.5,129.4,130.5,129.4,533,2020,1
2020-01-21,Air Liquide,130.0,128.9,130.0,127.9,329,2020,1
2020-01-20,Air Liquide,130.35,128.9,130.35,128.75,776,2020,1
2020-01-17,Air Liquide,127.85,130.05,130.05,127.7,"1,295",2020,1
2020-01-16,Air Liquide,128.05,127.4,128.05,127.35,450,2020,1
2020-01-15,Air Liquide,127.5,126.65,127.5,126.55,"1,216",2020,1
2020-01-14,Air Liquide,126.6,127.15,127.15,125.5,476,2020,1
2020-01-13,Air Liquide,127.7,126.3,127.7,126.1,420,2020,1
2020-01-10,Air Liquide,125.95,126.1,126.1,125.45,306,2020,1
2020-01-09,Air Liquide,126.2,125.6,126.2,125.2,184,2020,1
2020-01-08,Air Liquide,123.3,124.75,124.75,122.1,349,2020,1
2020-01-07,Air Liquide,125.8,124.85,126.05,124.85,243,2020,1
2020-01-06,Air Liquide,126.5,125.45,126.5,124.9,270,2020,1
2020-01-03,Air Liquide,126.75,126.0,126.75,126.0,16,2020,1
2020-01-02,Air Liquide,127.75,126.75,127.75,126.0,872,2020,1
2019-12-30,Air Liquide,127.55,126.45,127.55,126.45,494,2019,12
2019-12-27,Air Liquide,126.8,126.75,126.8,126.3,174,2019,12
2019-12-23,Air Liquide,127.9,126.45,127.9,126.15,339,2019,12
2019-12-20,Air Liquide,125.8,126.8,127.5,125.8,325,2019,12
2019-12-19,Air Liquide,124.5,124.75,124.75,124.5,100,2019,12
2019-12-18,Air Liquide,124.45,124.6,124.65,124.45,85,2019,12
2019-12-17,Air Liquide,125.0,124.45,125.0,124.45,510,2019,12
2019-12-16,Air Liquide,124.5,124.85,124.9,123.8,"1,173",2019,12
